Author,Char_1,Freq_1,Char_2,Freq_2,Char_3,Freq_3,Char_4,Freq_4,Char_5,Freq_5,Char_6,Freq_6,Char_7,Freq_7,Char_8,Freq_8,Char_9,Freq_9,Char_10,Freq_10,char_e,char_a,char_s,char_n,char_i,char_r,char_l,char_t,char_o,char_u,char_d,char_c,char_m,char_p,char_v,char_g,char_b,char_f,char_h,char_q,Language,char_k,char_y,char_j,char_w,char_z,char_ſ,char_ī,char_é,char_þ,char_ä,char_ö,char_á,char_æ,char_о,char_а,char_е,char_к,char_и,char_т,char_н,char_р,char_л,char_с,char_в,char_у,char_п,char_д,char_б,char_ь,char_м,char_ч,char_я,char_í,char_å,char_ó
Edward Costello,e,12.97,t,8.89,o,7.78,a,7.74,n,7.05,r,6.58,i,6.55,h,5.8,s,5.74,d,4.4,12.97,7.74,5.74,7.05,6.55,6.58,3.8,8.89,7.78,2.8,4.4,2.79,2.76,1.74,,2.15,1.49,2.63,5.8,,English,,1.72,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Frederic Benson,e,12.36,t,9.32,a,8.21,o,7.34,h,7.18,i,7.13,n,6.8,s,6.45,r,5.44,d,4.6,12.36,8.21,6.45,6.8,7.13,5.44,3.97,9.32,7.34,2.72,4.6,2.41,2.41,1.46,,2.1,1.58,2.1,7.18,,English,,1.76,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Gibbon,e,12.97,t,9.27,a,7.86,i,7.48,o,7.24,s,6.76,n,6.73,r,6.51,h,5.75,d,4.18,12.97,7.86,6.76,6.73,7.48,6.51,3.38,9.27,7.24,2.97,4.18,3.2,2.49,2.32,,1.44,1.47,2.79,5.75,,English,,1.49,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Lasker,e,11.07,t,9.64,a,7.34,i,6.6,o,6.44,n,6.44,s,5.7,h,5.19,r,5.13,p,4.29,11.07,7.34,5.7,6.44,6.6,5.13,3.35,9.64,6.44,1.98,2.82,3.48,1.8,4.29,,1.98,3.52,2.13,5.19,,English,3.9,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Meyrick Goulburn,e,12.2,t,9.78,o,8.27,i,7.63,n,6.91,a,6.8,r,6.56,s,6.18,h,5.15,l,3.72,12.2,6.8,6.18,6.91,7.63,6.56,3.72,9.78,8.27,3.04,3.43,3.46,2.36,2.09,,2.03,1.44,2.73,5.15,,English,,2.01,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward S. Ellis,e,12.72,t,9.18,a,8.27,o,7.45,n,6.77,i,6.69,h,6.51,s,6.42,r,5.84,d,4.44,12.72,8.27,6.42,6.77,6.69,5.84,3.73,9.18,7.45,2.81,4.44,2.5,2.33,1.91,,2.12,1.45,2.3,6.51,,English,,1.79,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Smith,e,12.43,t,9.67,o,8.0,a,7.53,n,7.01,i,7.0,r,6.27,s,6.15,h,5.66,l,3.83,12.43,7.53,6.15,7.01,7.0,6.27,3.83,9.67,8.0,2.77,3.81,3.0,2.51,2.23,,1.88,1.82,2.54,5.66,,English,,1.77,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Sylvester Ellis,e,12.67,t,9.93,a,7.75,o,7.37,h,7.04,i,6.8,n,6.76,s,5.93,r,5.92,d,4.37,12.67,7.75,5.93,6.76,6.8,5.92,3.68,9.93,7.37,2.8,4.37,2.44,2.13,1.7,,2.03,1.67,2.3,7.04,,English,,1.66,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward W. Ludwig,e,12.26,t,9.73,o,8.37,a,7.05,i,6.83,r,6.68,n,6.65,s,5.58,h,4.6,d,4.02,12.26,7.05,5.58,6.65,6.83,6.68,3.52,9.73,8.37,3.25,4.02,3.32,2.48,2.34,,2.59,1.82,2.32,4.6,,English,,2.04,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward William Lane,e,13.53,t,9.06,o,7.77,a,7.68,i,6.64,s,6.58,n,6.54,h,6.49,r,6.38,d,3.79,13.53,7.68,6.58,6.54,6.64,6.38,3.48,9.06,7.77,2.34,3.79,2.66,2.84,1.94,,1.77,1.64,2.79,6.49,,English,,1.75,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin A. Abbot,e,12.51,t,9.21,o,8.0,a,7.59,i,7.49,n,7.24,s,6.45,r,6.0,h,5.2,l,4.19,12.51,7.59,6.45,7.24,7.49,6.0,4.19,9.21,8.0,3.04,3.78,3.07,2.64,1.83,,1.95,1.47,2.46,5.2,,English,,2.1,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin Dingle,e,12.45,t,9.06,a,8.01,o,7.62,n,7.55,i,7.22,s,6.01,r,5.91,h,5.82,d,4.0,12.45,8.01,6.01,7.55,7.22,5.91,3.95,9.06,7.62,2.74,4.0,2.71,2.54,1.89,,2.24,1.48,2.46,5.82,,English,,1.9,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin Lefevre,e,11.78,t,10.18,a,8.12,o,8.01,i,7.07,n,6.75,s,6.17,h,5.47,r,5.32,d,4.14,11.78,8.12,6.17,6.75,7.07,5.32,3.96,10.18,8.01,2.88,4.14,2.63,2.66,1.82,,2.01,1.7,2.11,5.47,,English,,2.24,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin N. McClellan,e,12.39,a,8.6,t,8.59,n,8.04,i,7.6,r,7.24,o,7.14,s,6.03,d,4.21,h,4.05,12.39,8.6,6.03,8.04,7.6,7.24,3.39,8.59,7.14,2.43,4.21,3.6,2.9,2.02,,1.97,1.48,2.95,4.05,,English,,1.42,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin P. Norwood,e,12.79,t,9.77,a,8.05,o,7.54,n,6.67,h,6.44,i,6.09,s,5.84,r,5.51,d,4.71,12.79,8.05,5.84,6.67,6.09,5.51,4.29,9.77,7.54,2.7,4.71,2.37,2.23,1.73,,2.49,1.52,2.18,6.44,,English,,2.08,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effie Price Gladding,e,12.47,t,8.99,a,8.22,o,7.88,n,7.16,i,6.51,r,6.38,s,6.3,h,5.65,l,4.47,12.47,8.22,6.3,7.16,6.51,6.38,4.47,8.99,7.88,2.69,3.92,2.58,2.23,1.79,,2.21,1.41,2.43,5.65,,English,,1.83,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaine McGee,e,11.74,t,9.43,a,8.16,o,8.08,i,7.55,n,7.39,r,6.72,s,6.34,l,4.48,h,3.79,11.74,8.16,6.34,7.39,7.55,6.72,4.48,9.43,8.08,3.25,3.64,3.65,2.55,2.18,,2.13,1.76,2.27,3.79,,English,,1.38,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleanor H. Porter,e,12.33,t,9.21,a,7.91,o,7.67,n,7.09,h,6.36,i,6.28,s,6.0,r,5.49,l,4.76,12.33,7.91,6.0,7.09,6.28,5.49,4.76,9.21,7.67,2.93,4.67,2.09,2.49,1.71,,1.98,1.45,1.89,6.36,,English,,2.69,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eleanora H. Stooke,e,12.27,t,8.94,o,8.17,a,7.61,i,6.88,n,6.24,h,6.11,r,6.1,s,5.92,d,4.72,12.27,7.61,5.92,6.24,6.88,6.1,3.63,8.94,8.17,2.89,4.72,2.22,2.61,1.79,,2.17,2.17,1.88,6.11,,English,,2.43,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias L__nnrot,e,13.02,t,8.97,o,7.6,n,7.17,a,7.14,h,7.1,s,6.81,i,6.56,r,6.32,l,4.43,13.02,7.14,6.81,7.17,6.56,6.32,4.43,8.97,7.6,2.38,3.97,1.96,2.72,1.46,,2.18,1.37,2.57,7.1,,English,,1.57,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elisha Kent Kane,e,12.84,t,9.32,a,7.89,o,7.54,n,6.92,i,6.74,r,6.4,s,6.36,h,5.39,d,4.0,12.84,7.89,6.36,6.92,6.74,6.4,3.72,9.32,7.54,2.9,4.0,2.93,2.48,1.79,,2.1,1.63,2.65,5.39,,English,,1.64,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliza Grey,e,12.25,t,9.06,o,7.8,a,7.53,i,7.2,n,6.5,r,6.31,s,5.69,h,5.35,d,4.24,12.25,7.53,5.69,6.5,7.2,6.31,4.12,9.06,7.8,2.83,4.24,2.8,2.85,1.95,,2.45,1.48,2.35,5.35,,English,,2.22,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Barrett Browning,e,12.06,t,8.62,o,8.12,a,7.66,s,6.74,n,6.54,i,6.52,h,6.16,r,6.04,l,4.47,12.06,7.66,6.74,6.54,6.52,6.04,4.47,8.62,8.12,3.2,4.23,2.32,2.65,1.77,,2.08,1.44,2.27,6.16,,English,,2.12,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Burgoyne Corbett,e,12.56,t,8.86,o,7.9,a,7.87,i,6.82,n,6.54,s,6.06,r,5.95,h,5.67,d,4.34,12.56,7.87,6.06,6.54,6.82,5.95,4.12,8.86,7.9,3.13,4.34,2.49,2.85,1.8,,1.9,1.62,2.36,5.67,,English,,2.31,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Cleghorn Gaskell,e,12.38,t,8.86,a,8.14,o,7.63,n,6.78,s,6.61,i,6.6,h,6.06,r,5.99,d,4.69,12.38,8.14,6.61,6.78,6.6,5.99,3.81,8.86,7.63,2.74,4.69,2.33,2.92,1.68,,2.01,1.55,2.17,6.06,,English,,2.04,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Gaskell,e,12.47,t,9.03,o,7.97,a,7.93,n,6.81,h,6.58,i,6.53,r,6.26,s,6.19,d,4.26,12.47,7.93,6.19,6.81,6.53,6.26,3.97,9.03,7.97,2.83,4.26,2.21,2.76,1.55,,2.17,1.44,2.28,6.58,,English,,2.04,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Morison,e,13.43,t,9.63,a,7.81,o,7.69,n,7.17,i,6.47,r,6.44,s,5.97,h,5.78,d,4.32,13.43,7.81,5.97,7.17,6.47,6.44,3.65,9.63,7.69,2.9,4.32,2.68,2.21,1.92,,2.13,1.48,2.19,5.78,,English,,1.45,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Sandham,e,12.67,t,8.75,a,7.98,o,7.62,n,6.83,i,6.71,r,6.52,h,6.39,s,6.07,d,4.75,12.67,7.98,6.07,6.83,6.71,6.52,3.88,8.75,7.62,2.77,4.75,2.28,3.1,1.69,,1.65,1.48,2.25,6.39,,English,,2.09,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Von Arnim,e,12.71,t,8.86,a,7.68,o,7.42,n,6.83,s,6.8,h,6.78,i,6.55,r,5.96,d,4.71,12.71,7.68,6.8,6.83,6.55,5.96,4.12,8.86,7.42,2.73,4.71,2.18,2.29,1.55,,2.16,1.64,2.15,6.78,,English,,1.94,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen G. White,e,13.24,t,9.63,o,7.59,a,7.08,i,6.85,n,6.72,h,6.7,s,6.49,r,6.22,d,4.31,13.24,7.08,6.49,6.72,6.85,6.22,3.82,9.63,7.59,2.55,4.31,2.83,2.21,2.06,,1.93,1.44,2.73,6.7,,English,,1.59,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis Parker Butler,e,11.88,t,9.42,a,8.33,o,7.85,i,7.23,n,6.81,h,5.67,s,5.65,r,5.41,d,4.5,11.88,8.33,5.65,6.81,7.23,5.41,4.39,9.42,7.85,2.96,4.5,2.35,2.57,1.73,,2.32,1.79,2.14,5.67,,English,,2.14,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis Spear,e,12.2,t,9.72,o,8.44,a,7.6,i,7.1,r,6.92,n,6.89,s,5.25,h,4.45,d,3.87,12.2,7.6,5.25,6.89,7.1,6.92,3.41,9.72,8.44,3.07,3.87,3.53,2.35,2.42,,2.17,1.69,2.52,4.45,,English,,1.98,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elphinstone Dayrell,e,13.02,t,9.76,h,8.27,a,8.22,o,7.75,n,6.63,i,5.9,s,5.22,r,5.06,d,4.91,13.02,8.22,5.22,6.63,5.9,5.06,3.5,9.76,7.75,2.76,4.91,2.06,2.42,1.61,,2.16,1.64,2.25,8.27,,English,,1.7,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ely Banister Soane,e,12.02,a,9.19,t,8.78,o,7.21,n,7.06,i,6.93,s,6.42,r,6.28,h,5.9,d,4.42,12.02,9.19,6.42,7.06,6.93,6.28,3.7,8.78,7.21,3.04,4.42,2.52,2.5,1.95,,1.88,1.53,2.48,5.9,,English,,1.58,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El__onore Riego de la Branchardi__re,e,12.8,t,10.92,o,8.43,n,6.98,i,6.92,a,6.67,r,6.56,s,6.02,h,5.51,l,4.12,12.8,6.67,6.02,6.98,6.92,6.56,4.12,10.92,8.43,2.17,3.37,3.45,1.89,2.34,,2.09,1.49,2.07,5.51,,English,1.64,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Hough,e,12.21,t,8.85,a,8.25,o,8.11,n,6.86,i,6.82,s,6.32,h,6.04,r,5.72,d,4.14,12.21,8.25,6.32,6.86,6.82,5.72,4.1,8.85,8.11,3.02,4.14,2.4,3.02,1.53,,1.91,1.3,2.25,6.04,,English,,2.27,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emile Durkheim,e,12.99,t,10.26,i,8.51,a,7.46,o,7.29,s,7.01,n,6.81,h,5.92,r,5.75,l,3.72,12.99,7.46,7.01,6.81,8.51,5.75,3.72,10.26,7.29,2.44,2.98,3.43,2.63,1.98,,1.59,1.42,2.51,5.92,,English,,1.6,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Brontë,e,12.78,t,8.67,a,7.74,o,7.4,n,7.16,i,7.15,h,6.47,s,6.07,r,5.92,d,4.78,12.78,7.74,6.07,7.16,7.15,5.92,4.11,8.67,7.4,2.98,4.78,2.41,2.64,1.59,,2.12,1.39,2.15,6.47,,English,,2.16,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Dickinson,e,12.83,t,9.43,a,7.39,o,7.36,i,7.23,s,6.69,n,6.52,r,5.99,h,5.65,l,4.39,12.83,7.39,6.69,6.52,7.23,5.99,4.39,9.43,7.36,2.89,4.09,2.37,2.5,1.86,,1.94,1.69,2.24,5.65,,English,,1.85,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Post,e,12.6,t,9.19,o,8.14,a,8.1,n,7.21,s,6.94,i,6.67,r,6.43,h,5.47,l,4.08,12.6,8.1,6.94,7.21,6.67,6.43,4.08,9.19,8.14,2.8,3.51,2.65,2.35,1.82,,2.01,1.65,2.25,5.47,,English,,2.04,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epictetus,e,11.84,t,9.21,o,8.78,i,7.5,a,7.06,n,6.86,r,6.62,s,6.16,h,5.09,l,3.96,11.84,7.06,6.16,6.86,7.5,6.62,3.96,9.21,8.78,3.46,3.46,3.17,2.11,2.36,,1.74,1.66,2.29,5.09,,English,,2.41,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest Flagg Henderson,e,12.7,t,9.58,a,8.2,n,7.37,i,7.16,o,7.1,r,6.98,s,6.38,h,5.28,l,3.96,12.7,8.2,6.38,7.37,7.16,6.98,3.96,9.58,7.1,2.61,3.38,2.93,2.41,1.91,,2.2,1.55,2.56,5.28,,English,,1.74,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest Hemingway,e,12.15,t,9.73,a,8.16,o,7.92,i,6.74,n,6.69,h,6.4,s,5.61,r,5.25,d,4.83,12.15,8.16,5.61,6.69,6.74,5.25,4.24,9.73,7.92,2.91,4.83,2.17,2.26,1.51,,2.41,1.71,1.78,6.4,,English,,2.01,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escott Lynn,e,12.29,t,8.75,a,8.37,o,7.27,n,7.0,h,6.46,r,6.3,i,6.16,s,6.03,d,4.84,12.29,8.37,6.03,7.0,6.16,6.3,4.07,8.75,7.27,2.76,4.84,2.62,2.41,1.63,,2.36,1.47,2.24,6.46,,English,,1.89,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethel Lynn,e,12.4,t,8.91,a,8.24,o,7.87,n,7.01,i,6.42,r,5.92,s,5.74,h,5.68,d,4.85,12.4,8.24,5.74,7.01,6.42,5.92,4.04,8.91,7.87,3.06,4.85,2.67,2.45,1.79,,2.34,1.51,2.4,5.68,,English,,1.86,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etsu Inagaki Sugimoto,e,12.45,t,8.79,a,8.23,o,7.74,n,6.78,i,6.58,s,6.38,h,6.1,r,6.1,d,4.54,12.45,8.23,6.38,6.78,6.58,6.1,4.13,8.79,7.74,2.67,4.54,2.31,2.55,1.71,,2.21,1.53,2.38,6.1,,English,,1.94,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugene O'Neill,e,11.97,t,8.74,o,7.75,a,7.51,i,7.18,n,6.9,s,6.23,r,5.88,h,5.19,l,4.35,11.97,7.51,6.23,6.9,7.18,5.88,4.35,8.74,7.75,3.26,4.29,2.48,2.47,1.79,,2.64,1.63,2.13,5.19,,English,,2.66,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eug__ne Scribe,e,14.98,a,7.77,n,7.26,i,7.22,t,6.95,s,6.87,r,6.75,o,5.99,u,5.3,l,4.85,14.98,7.77,6.87,7.26,7.22,6.75,4.85,6.95,5.99,5.3,3.55,3.6,3.15,2.59,1.79,1.02,1.32,1.23,1.91,,English,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eug__ne Sue,e,12.74,t,9.02,o,8.14,a,7.93,i,6.54,r,6.35,h,6.34,n,6.31,s,6.12,d,4.31,12.74,7.93,6.12,6.31,6.54,6.35,3.97,9.02,8.14,2.79,4.31,2.46,2.46,1.76,,1.86,1.77,2.48,6.34,,English,,2.11,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euripides,e,12.82,t,9.13,o,7.93,a,7.82,n,6.8,h,6.56,i,6.33,s,6.3,r,6.2,d,4.31,12.82,7.82,6.3,6.8,6.33,6.2,4.21,9.13,7.93,2.6,4.31,2.3,2.71,1.64,,2.09,1.44,2.36,6.56,,English,,1.87,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evelyn Philip Shirley,e,13.05,t,8.18,o,7.84,r,7.67,n,7.42,a,7.11,i,7.03,s,6.46,h,5.51,l,4.25,13.05,7.11,6.46,7.42,7.03,7.67,4.25,8.18,7.84,2.02,3.86,2.76,2.23,1.58,,1.92,1.86,3.27,5.51,,English,,1.93,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. H. Leeds,e,13.01,t,9.21,a,8.03,i,7.45,o,7.33,n,6.54,r,6.47,s,6.07,h,4.68,l,4.37,13.01,8.03,6.07,6.54,7.45,6.47,4.37,9.21,7.33,2.96,3.43,3.79,2.4,2.58,,2.05,1.92,2.63,4.68,,English,,1.66,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Hopkinson Smith,e,12.41,t,9.41,o,8.35,a,7.33,r,6.69,i,6.61,n,6.6,h,5.77,s,5.56,d,4.35,12.41,7.33,5.56,6.6,6.61,6.69,3.71,9.41,8.35,2.77,4.35,2.76,2.51,2.08,,2.34,1.87,2.17,5.77,,English,,2.05,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. L. Wallace,e,12.81,t,9.83,a,7.76,o,7.52,n,7.01,i,6.88,h,6.15,s,5.83,r,5.46,d,4.72,12.81,7.76,5.83,7.01,6.88,5.46,3.85,9.83,7.52,2.96,4.72,3.05,2.16,1.64,,2.08,1.44,1.77,6.15,,English,,1.93,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Marion Crawford,e,12.29,t,9.22,a,8.26,o,7.96,n,6.93,h,6.84,i,6.29,s,6.05,r,5.56,d,4.58,12.29,8.26,6.05,6.93,6.29,5.56,4.17,9.22,7.96,2.98,4.58,2.19,2.33,1.34,,2.11,1.52,1.96,6.84,,English,,2.39,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Max Müller,e,12.34,t,9.46,a,8.29,o,7.46,i,7.28,n,7.18,s,6.5,r,6.19,h,6.02,d,3.85,12.34,8.29,6.5,7.18,7.28,6.19,3.67,9.46,7.46,2.58,3.85,2.6,2.39,1.7,,1.91,1.45,2.47,6.02,,English,,1.79,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. O. Call,e,12.1,t,8.96,o,8.01,a,7.29,n,6.84,r,6.65,i,6.63,s,6.27,h,5.25,d,4.32,12.1,7.29,6.27,6.84,6.63,6.65,4.32,8.96,8.01,2.97,4.32,2.45,2.41,2.05,,2.81,1.78,2.4,5.25,,English,,2.02,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. R. Watson,e,12.27,t,9.45,o,8.28,a,7.45,i,7.38,n,6.87,r,6.7,s,6.53,h,4.62,c,4.0,12.27,7.45,6.53,6.87,7.38,6.7,3.72,9.45,8.28,3.33,3.53,4.0,1.98,2.16,,2.06,1.64,2.83,4.62,,English,,1.45,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Scott Fitzgerald,e,12.24,t,8.98,a,8.16,o,7.78,i,6.87,n,6.85,s,6.11,h,5.92,r,5.89,d,4.5,12.24,8.16,6.11,6.85,6.87,5.89,4.25,8.98,7.78,2.87,4.5,2.42,2.64,1.61,,2.27,1.52,2.06,5.92,,English,,2.36,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. W. Nietzsche,e,12.17,t,10.08,i,7.85,o,7.75,a,7.75,n,7.03,s,6.87,r,5.73,h,5.66,l,4.05,12.17,7.75,6.87,7.03,7.85,5.73,4.05,10.08,7.75,2.54,3.33,3.12,2.37,2.0,,1.92,1.39,2.68,5.66,,English,,1.91,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fancis Buchanan Hamilton,e,11.85,a,9.45,t,8.91,o,7.1,i,6.86,n,6.7,r,6.63,h,6.3,s,6.15,d,3.84,11.85,9.45,6.15,6.7,6.86,6.63,3.57,8.91,7.1,2.85,3.84,2.88,2.56,2.05,,1.79,1.8,2.49,6.3,,English,,1.76,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanny Burney,e,12.33,t,8.63,o,8.03,a,7.57,i,7.21,n,6.73,s,6.07,r,5.99,h,5.73,d,4.4,12.33,7.57,6.07,6.73,7.21,5.99,4.2,8.63,8.03,3.27,4.4,2.35,3.35,1.67,,1.71,1.4,2.06,5.73,,English,,2.55,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Voorhies,e,13.08,t,8.73,a,7.81,o,7.76,n,6.85,r,6.8,i,6.55,s,6.22,h,5.11,d,4.69,13.08,7.81,6.22,6.85,6.55,6.8,3.89,8.73,7.76,3.25,4.69,2.65,2.25,1.97,,2.1,1.38,2.3,5.11,,English,,1.93,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feodor Dostoevsky,e,12.59,t,9.59,o,7.92,i,7.06,a,7.04,n,6.86,r,6.28,s,5.88,h,5.84,l,4.17,12.59,7.04,5.88,6.86,7.06,6.28,4.17,9.59,7.92,3.07,3.99,2.72,2.51,1.86,,1.98,1.59,2.55,5.84,,English,,2.0,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Pessoa,e,12.35,t,10.01,o,8.37,i,6.86,n,6.7,a,6.6,r,6.57,s,6.17,h,4.93,l,3.57,12.35,6.6,6.17,6.7,6.86,6.57,3.57,10.01,8.37,3.23,3.52,2.9,2.43,2.01,,2.65,1.75,2.42,4.93,,English,,2.0,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiodor Dostoievski,e,12.02,t,9.14,a,8.15,o,7.89,i,7.26,n,6.98,h,6.08,s,5.81,r,5.27,d,4.21,12.02,8.15,5.81,6.98,7.26,5.27,4.21,9.14,7.89,3.06,4.21,2.44,2.74,1.62,,2.08,1.45,2.08,6.08,,English,,2.57,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavius Josephus,e,12.85,t,9.97,a,8.29,h,7.61,o,7.57,n,6.61,s,6.37,i,6.33,r,5.7,d,4.55,12.85,8.29,6.37,6.61,6.33,5.7,3.08,9.97,7.57,2.68,4.55,2.28,2.62,1.68,,1.74,1.61,2.35,7.61,,English,,1.73,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flora Annie Steel,e,12.37,t,9.24,a,7.94,o,7.45,h,6.73,n,6.5,i,6.23,r,6.15,s,6.15,d,4.62,12.37,7.94,6.15,6.5,6.23,6.15,4.22,9.24,7.45,2.97,4.62,2.13,2.27,1.6,,2.16,1.85,2.44,6.73,,English,,1.93,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence A. Merriam,e,12.5,t,9.52,o,7.51,a,7.48,n,6.87,i,6.81,h,6.42,s,5.97,r,5.88,d,4.5,12.5,7.48,5.97,6.87,6.81,5.88,4.17,9.52,7.51,2.73,4.5,2.3,2.18,1.66,,2.47,1.92,2.42,6.42,,English,,1.7,,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence Crannell Means,e,12.68,t,8.86,a,7.87,o,7.44,n,6.72,i,6.16,r,6.06,s,6.06,h,5.99,d,5.07,12.68,7.87,6.06,6.72,6.16,6.06,4.23,8.86,7.44,2.58,5.07,2.68,2.45,1.89,,2.57,1.64,1.86,5.99,,English,,2.11,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence Hartley,e,12.65,t,9.38,o,8.21,a,7.55,n,7.02,i,7.0,r,6.58,s,6.19,h,4.89,l,4.21,12.65,7.55,6.19,7.02,7.0,6.58,4.21,9.38,8.21,3.15,3.59,2.79,2.34,2.02,,1.8,1.5,2.56,4.89,,English,,2.27,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence White Williams,e,11.81,t,10.24,o,8.11,i,7.4,r,7.05,a,6.99,n,6.65,s,5.14,h,4.52,l,4.25,11.81,6.99,5.14,6.65,7.4,7.05,4.25,10.24,8.11,3.3,3.88,3.37,2.1,2.52,,2.42,1.68,2.3,4.52,,English,,1.95,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
